Field_1,carat,cut,cut_ord,color,clarity,clarity_ord,price
1,1.22,Premium,4,G,SI1,3,7421.61082085785
2,1.01,Good,2,G,VS2,5,5994.74244105382
3,0.71,Very Good,3,I,VS2,5,2570.56091193046
4,1.01,Ideal,5,D,SI2,2,5227.95600902183
5,0.27,Ideal,5,H,VVS2,6,21.9424608758545
6,0.52,Premium,4,G,VS1,4,2164.54577562956
7,1.01,Premium,4,F,SI1,3,5755.14311974781
8,0.59,Ideal,5,D,SI1,3,2448.93483730042
9,1.01,Good,2,E,SI1,3,5641.48189543015
10,2.03,Ideal,5,F,SI2,2,13994.4449925522
11,1.35,Premium,4,H,VS2,5,8755.9126849956
12,0.74,Ideal,5,G,SI1,3,3283.48662712816
13,0.9,Premium,4,D,SI1,3,5076.19900129108
14,0.3,Good,2,G,VS2,5,-315.320036091558
15,1.01,Good,2,F,VS2,5,6194.63124726847
16,1.02,Good,2,H,SI2,2,4015.70745802503
17,2.05,Premium,4,G,SI1,3,14798.1627307602
18,0.54,Ideal,5,I,SI1,3,563.138006540712
19,0.72,Ideal,5,G,VS2,5,3752.31617407613
20,2,Premium,4,J,SI2,2,11577.3067594715
21,1.57,Premium,4,G,SI2,2,9578.51315680436
22,0.89,Premium,4,G,SI1,3,4488.76488077619
23,0.33,Premium,4,I,VVS2,6,-47.8731189465698
24,0.3,Very Good,3,G,IF,8,1074.23807075462
25,1.79,Very Good,3,I,VS2,5,12168.9658067432
26,1.11,Ideal,5,E,SI2,2,5911.45444198464
27,0.79,Premium,4,F,SI1,3,3799.91249302671
28,0.71,Very Good,3,F,SI1,3,3066.73816506348
29,0.73,Ideal,5,G,SI1,3,3194.61250773174
30,0.9,Very Good,3,G,VS2,5,5202.03541312149
31,1.31,Good,2,I,VS1,4,8035.64531706694
32,1.01,Ideal,5,F,SI2,2,4929.28481411801
33,0.35,Premium,4,D,SI1,3,188.122434488322
34,0.41,Premium,4,G,VS2,5,869.384935489137
35,0.32,Premium,4,E,VS2,5,362.835101038552
36,0.38,Ideal,5,D,VS1,4,1546.70164249641
37,1.21,Premium,4,I,SI2,2,5436.17862587429
